t,dir,outcome,err,stream,seq,id,gen_time,on_time
7510,DATA,STATE_APPLIED,OK,7,75,0,7484,0
7520,ACK,ACK_STATE,OK,5,75,0,0,0
7530,ACK,ACK_STATE,OK,7,75,0,0,0
7560,DATA,STATE_APPLIED,OK,3,75,0,7445,0
7570,DATA,STATE_APPLIED,OK,4,76,0,7543,0
7580,DATA,STATE_APPLIED,OK,5,76,0,7552,0
7580,ACK,ACK_STATE,OK,3,75,0,0,0
7590,ACK,ACK_STATE,OK,4,76,0,0,0
7600,DATA,STATE_APPLIED,OK,3,76,0,7544,0
7600,ACK,ACK_STATE,OK,5,76,0,0,0
7610,DATA,STATE_APPLIED,OK,6,76,0,7582,0
7620,DATA,STATE_APPLIED,OK,7,76,0,7592,0
7630,DATA,STATE_APPLIED,OK,0,77,0,7595,0
7630,ACK,ACK_STATE,OK,6,76,0,0,0
7640,ACK,ACK_STATE,OK,7,76,0,0,0
7650,ACK,ACK_STATE,OK,0,77,0,0,0
7690,DATA,STATE_APPLIED,OK,5,77,0,7664,0
7700,DATA,STATE_APPLIED,OK,6,77,0,7679,0
7710,ACK,ACK_STATE,OK,5,77,0,0,0
7720,DATA,STATE_APPLIED,OK,7,77,0,7694,0
7720,ACK,ACK_STATE,OK,6,77,0,0,0
7730,DATA,STATE_APPLIED,OK,1,78,0,7704,0
7740,DATA,STATE_APPLIED,OK,0,78,0,7706,0
7740,ACK,ACK_STATE,OK,7,77,0,0,0
7760,DATA,STATE_APPLIED,OK,2,78,0,7717,0
7760,ACK,ACK_STATE,OK,0,78,0,0,0
7780,DATA,STATE_APPLIED,OK,5,78,0,7755,0
7780,ACK,ACK_STATE,OK,2,78,0,0,0
7800,DATA,STATE_APPLIED,OK,6,78,0,7773,0
7800,ACK,ACK_STATE,OK,5,78,0,0,0
7810,DATA,STATE_APPLIED,OK,7,78,0,7790,0
7830,ACK,ACK_STATE,OK,7,78,0,0,0
7880,DATA,STATE_APPLIED,OK,5,79,0,7854,0
7900,DATA,STATE_APPLIED,OK,3,79,0,7831,0
7900,ACK,ACK_STATE,OK,5,79,0,0,0
7920,DATA,STATE_APPLIED,OK,7,79,0,7895,0
7920,ACK,ACK_STATE,OK,3,79,0,0,0
7940,ACK,ACK_STATE,OK,7,79,0,0,0
7970,DATA,STATE_APPLIED,OK,4,80,0,7949,0
7980,DATA,STATE_APPLIED,OK,3,80,0,7947,0
7990,ACK,ACK_STATE,OK,4,80,0,0,0
8000,DATA,STATE_APPLIED,OK,5,80,0,7972,0
8000,ACK,ACK_STATE,OK,3,80,0,0,0
